Rosenbrock,20,4,1.00000001,74,150321,0.0857864376,100.25,0.2233320028
Rosenbrock,5,4,1.000000001,7018,7519009,0.0870828219,0.8196080021,10.0033311844
Rosenbrock,10,4,1.000000001,84,100255,0.0857864376,100.25,0.1333319992
Rosenbrock,20,4,1.000000001,92,300484,0.0857864376,0.8284270752,0.4533320069
Rosenbrock,5,4,1.0000000001,85,200301,0.0870828047,0.8196081637,0.2799989879
Rosenbrock,10,4,1.0000000001,7114,7564268,0.0857864376,1.4999999947,10.0033321381
Rosenbrock,20,4,1.0000000001,94,200555,0.0857864376,1.4999999944,0.2966659963
Rosenbrock,5,4,1,7089,7593723,0.0870828047,1.9999999995,10.0033321381
Rosenbrock,10,4,1,7227,7739318,0.0857864376,0.8284271242,10.0033311844
Rosenbrock,20,4,1,81,150286,0.0857864376,0.8284271242,0.2299990058
Rosenbrock,5,6,2,9425,10115023,0.059449211,7.21730688299332E-012,10.0033311844
Rosenbrock,10,6,2,9204,9880667,0.059449211,9.04840438686956E-014,10.0033311844
Rosenbrock,20,6,2,9382,10073362,0.059449211,2.8977154009624E-011,10.0033311844
Rosenbrock,5,6,1.1,5481,5795139,0.085784338,0.0384327879,10.0033311844
Rosenbrock,10,6,1.1,5551,5813473,0.0857842815,0.0415948762,10.0033311844
Rosenbrock,20,6,1.1,5480,5770877,0.0857842815,0.0494208095,10.0033311844
Rosenbrock,5,6,1.01,112,200362,0.0857864376,1.0361768848,0.3633320034
Rosenbrock,10,6,1.01,122,250465,0.0857864376,0.6922290027,0.4566659927
Rosenbrock,20,6,1.01,109,200424,0.0857864376,0.6980707068,0.4699980021
Rosenbrock,5,6,1.001,114,150352,0.0857872102,1.4465865019,0.2799989879
Rosenbrock,10,6,1.001,5278,5703673,0.0857864376,0.9684063653,10.0033321381
Rosenbrock,20,6,1.001,5379,5663349,0.0857864376,0.9564847438,10.0033311844
Rosenbrock,5,6,1.0001,5371,5836977,0.0857864376,0.9882918124,10.0033311844
Rosenbrock,10,6,1.0001,125,100385,0.0857864376,1.0041542425,0.1966660023
Rosenbrock,20,6,1.0001,113,150375,0.0857864376,0.9885861465,0.2933320105
Rosenbrock,5,6,1.00001,5489,5829539,0.0857864377,0.9917846502,10.0033311844
Rosenbrock,10,6,1.00001,213,5325424,0.0857864376,1.0074310727,10.0033321381
Rosenbrock,20,6,1.00001,5246,5753485,0.0857864376,1.4994577035,10.0033311844
Rosenbrock,5,6,1.000001,117,150410,0.0857875268,1.0077761385,0.269998014
Rosenbrock,10,6,1.000001,150,150522,0.0857864376,1.4999436233,0.2766659856
Rosenbrock,20,6,1.000001,5487,5827385,0.0857864376,1.499949286,10.0033311844
Rosenbrock,5,6,1.0000001,128,100333,0.0857869437,1.4999919991,0.1799979955
Rosenbrock,10,6,1.0000001,209,150543,0.0857864376,1.4999944518,0.2766659856
Rosenbrock,20,6,1.0000001,5376,5742536,0.0857864376,1.4999944662,10.0033311844
Rosenbrock,5,6,1.00000001,5511,5805362,0.0857864376,1.4999994702,10.0033311844
Rosenbrock,10,6,1.00000001,150,150739,0.0857864376,0.992187126,0.2866649926
Rosenbrock,20,6,1.00000001,132,150387,0.0857864376,1.0078121457,0.2799980044
Rosenbrock,5,6,1.000000001,5540,5835664,0.0857864376,1.4999999462,10.0033321381
Rosenbrock,10,6,1.000000001,5470,5826395,0.0857864376,1.0078124619,10.0033311844
Rosenbrock,20,6,1.000000001,131,100342,0.0857864376,1.9999999495,0.2033320069
Rosenbrock,5,6,1.0000000001,116,200490,0.0857864376,1.0078124964,0.3733319938
Rosenbrock,10,6,1.0000000001,136,150446,0.0857864376,1.0078124963,0.2866649926
Rosenbrock,20,6,1.0000000001,5356,5726776,0.0857864376,1.9999999949,10.0033321381
Rosenbrock,5,6,1,5338,5762689,0.0857864376,1.0078124996,10.0033321381
Rosenbrock,10,6,1,5471,5787024,0.0857864376,1.4999999995,10.0033311844
Rosenbrock,20,6,1,124,150393,0.0857864376,100.25,0.2766650021
Rosenbrock,5,8,2,8536,9159991,0.059449211,3.31229487249722E-010,10.0033321381
Rosenbrock,10,8,2,8515,9140911,0.059449211,2.15828365495083E-009,10.0033311844
Rosenbrock,20,8,2,8297,8905295,0.059449211,1.39882549987647E-012,10.0033311844
Rosenbrock,5,8,1.1,4520,4687080,0.0857842816,0.0321987364,10.0033311844
Rosenbrock,10,8,1.1,4471,4625121,0.0857842815,0.0420471684,10.0033321381
Rosenbrock,20,8,1.1,4335,4571686,0.0857842815,0.0270868092,10.0033321381
Rosenbrock,5,8,1.01,4454,4725425,0.0857864376,0.6762129481,10.0033321381
Rosenbrock,10,8,1.01,4505,4704991,0.0857864376,0.7140631411,10.0033311844
Rosenbrock,20,8,1.01,154,300644,0.0857864376,1.0419729272,0.6666650176
Rosenbrock,5,8,1.001,138,150318,0.0893911692,0.9692257996,0.3366650045
Rosenbrock,10,8,1.001,151,300559,0.0857864381,0.9632070821,0.6866649985
Rosenbrock,20,8,1.001,4411,4610894,0.0857864376,0.9737821721,10.0033321381
Rosenbrock,5,8,1.0001,148,150389,0.0857864376,1.4944763815,0.3233320117
Rosenbrock,10,8,1.0001,166,100422,0.0857864376,1.4946224103,0.2199980021
Rosenbrock,20,8,1.0001,155,150549,0.0857864376,100.25,0.346664995
Rosenbrock,5,8,1.00001,136,100398,0.0857866121,1.9995124063,0.2333319932
Rosenbrock,10,8,1.00001,140,150379,0.0857864381,0.999623542,0.3499990106
Rosenbrock,20,8,1.00001,242,4576145,0.0857864376,1.499436328,10.0033321381
Rosenbrock,5,8,1.000001,133,100359,0.0857864376,1.0077771308,0.2333319932
Rosenbrock,10,8,1.000001,4356,4637706,0.0857864377,1.0077716127,10.0033321381
Rosenbrock,20,8,1.000001,159,200552,0.0857864376,1.499944663,0.4533320069
Rosenbrock,5,8,1.0000001,4448,4632663,0.0857873892,1.9999949461,10.0033311844
Rosenbrock,10,8,1.0000001,150,200550,0.0857864376,0.9999962376,0.4599989951
Rosenbrock,20,8,1.0000001,167,200592,0.0857864376,1.499994527,0.4799990058
Rosenbrock,5,8,1.00000001,127,200365,0.08578711,1.0078119116,0.4566650093
Rosenbrock,10,8,1.00000001,145,200418,0.0857864376,0.9999996359,0.4633319974
Rosenbrock,20,8,1.00000001,139,150483,0.0857864376,1.4999994432,0.359999001
Rosenbrock,5,8,1.000000001,137,200409,0.0857879496,1.0078120068,0.4366660118
Rosenbrock,10,8,1.000000001,142,150375,0.0857864376,1.499999945,0.3333320022
