yurirosen 5 2 2 10000 10744956 0.704635842 4.44089209850063E-016 9.2199983597
yurirosen 10 2 2 10000 10744956 0.704635842 4.44089209850063E-016 8.9899978638
yurirosen 20 2 2 10000 10744956 0.704635842 4.44089209850063E-016 9.3199977875
yurirosen 5 2 1.1 10000 10736398 0.7285533243 1.0369483049999E-012 11.2766647339
yurirosen 10 2 1.1 10000 10732097 0.7285533243 1.0369483049999E-012 10.8833312988
yurirosen 20 2 1.1 10000 10733171 0.7285533243 1.0369483049999E-012 10.6833305359
yurirosen 5 2 1.01 10000 185465 0.7285533906 2.8457434537 0.2466650009
yurirosen 10 2 1.01 10000 10707512 0.7285533906 1.170959142 10.5333309174
yurirosen 20 2 1.01 10000 10701147 0.7285533906 1.170959142 10.7833309174
yurirosen 5 2 1.001 10000 189309 0.7285533906 1.8774705748 0.2566649914
yurirosen 10 2 1.001 10000 189553 0.7285533906 3.584577356 0.2399989963
yurirosen 20 2 1.001 10000 189543 0.7285533906 1.8774705748 0.2433319986
yurirosen 5 2 1.0001 10000 189329 0.7285533906 3.6720860064 0.253331989
yurirosen 10 2 1.0001 10000 189346 0.7285533906 1.9649792252 0.253331989
yurirosen 20 2 1.0001 10000 189395 0.7285533906 3.6720860064 0.253331989
yurirosen 5 2 1.00001 10000 180712 0.7285533906 1.9738827235 0.2333319932
yurirosen 10 2 1.00001 10000 189237 0.7285533906 3.6809895047 0.253331989
yurirosen 20 2 1.00001 10000 189185 0.7285533906 3.6809895047 0.253331989
yurirosen 5 2 1.000001 10000 180917 0.7285533906 1.9747746175 0.2299979925
yurirosen 10 2 1.000001 10000 189056 0.7285533906 1.9747746175 0.2399979979
yurirosen 20 2 1.000001 10000 189261 0.7285533906 3.6818813987 0.2466650009
yurirosen 5 2 1.0000001 10000 180768 0.7285533906 1.9748638223 0.2366649956
yurirosen 10 2 1.0000001 10000 189118 0.7285533906 3.6819706035 0.2633320093
yurirosen 20 2 1.0000001 10000 189172 0.7285533906 3.6819706035 0.2466650009
yurirosen 5 2 1.00000001 10000 180747 0.7285533906 3.6819795242 0.2333319932
yurirosen 10 2 1.00000001 10000 189067 0.7285533906 1.974872743 0.2499990016
yurirosen 20 2 1.00000001 10000 189228 0.7285533906 1.974872743 0.2433319986
yurirosen 5 2 1.000000001 10000 180844 0.7285533906 3.6819804162 0.2433319986
yurirosen 10 2 1.000000001 10000 189132 0.7285533906 1.974873635 0.253331989
yurirosen 20 2 1.000000001 10000 189254 0.7285533906 1.974873635 0.2499980032
yurirosen 5 2 1.0000000001 10000 180790 0.7285533906 1.9748737242 0.2433319986
yurirosen 10 2 1.0000000001 10000 189050 0.7285533906 1.9748737242 0.2466650009
yurirosen 20 2 1.0000000001 10000 189331 0.7285533906 1.9748737242 0.2433319986
yurirosen 5 2 1 10000 180747 0.7285533906 1.9748737332 0.2433319986
yurirosen 10 2 1 10000 189039 0.7285533906 1.9748737332 0.2499980032
yurirosen 20 2 1 10000 189282 0.7285533906 1.9748737332 0.2433319986
yurirosen 5 4 2 10000 10007 2.1019075631 3.33066907387547E-016 0.103331998
yurirosen 10 4 2 10000 10007 2.1019075631 6.88338275267597E-015 0.103331998
yurirosen 20 4 2 10000 10007 2.1019075631 6.88338275267597E-015 0.1066650003
yurirosen 5 4 1.1 10000 10704158 2.100554256 0.000000092 14.6566638947
yurirosen 10 4 1.1 10000 10705233 2.100554256 2.02768912771489E-011 14.9166641235
yurirosen 20 4 1.1 10000 10707404 2.100554256 1.36793457850004E-006 15.0333309174
yurirosen 5 4 1.01 10000 10653820 2.0798937165 3.0040929401 14.7533315048
yurirosen 10 4 1.01 10000 10675291 2.0798937165 1.5069118607 14.9299983978
yurirosen 20 4 1.01 10000 10648454 2.0798937165 1.5069118607 14.8366641998
yurirosen 5 4 1.001 10000 3887726 0.8622589543 3.584577356 5.6866650581
yurirosen 10 4 1.001 10000 10640928 0.8040290508 2.3795225477 15.0133314133
yurirosen 20 4 1.001 10000 189009 2.0778467138 2.4117948934 0.3566659987
yurirosen 5 4 1.0001 10000 10700565 0.8040290508 2.4554064869 14.9633312225
yurirosen 10 4 1.0001 10000 10674245 2.0776422042 2.5194492438 15.4133310318
yurirosen 20 4 1.0001 10000 188620 2.0776422042 2.5189706641 0.3433319926
yurirosen 5 4 1.00001 107 100357 0.8385274282 3.8280567457 0.1466650069
yurirosen 10 4 1.00001 10000 20053 2.1136239099 2.5307102634 0.1399990022
yurirosen 20 4 1.00001 10000 10573459 2.0776217552 3.8274479963 15.0066652298
yurirosen 5 4 1.000001 10000 188643 2.0776197103 2.5309675206 0.3333320022
yurirosen 10 4 1.000001 211 200705 0.8040290508 4.0699788253 0.3133319914
yurirosen 20 4 1.000001 10000 10577636 2.0776197103 2.5309723227 15.0266637802
yurirosen 5 4 1.0000001 10000 10561573 2.0776195058 2.5310767738 14.7699975967
yurirosen 10 4 1.0000001 10000 20025 2.0804588936 2.5287637293 0.1433320045
yurirosen 20 4 1.0000001 10000 10567961 2.0776195058 2.5310767738 14.9799976349
yurirosen 5 4 1.00000001 10000 140593 2.0776194854 4.3971131031 0.2699989974
yurirosen 10 4 1.00000001 10000 188401 2.0776194854 2.5310876993 0.346664995
yurirosen 20 4 1.00000001 10000 187454 2.0776194854 4.3971131031 0.3466660082
yurirosen 5 4 1.000000001 10000 132008 2.0776194833 2.5310887919 0.2499980032
yurirosen 10 4 1.000000001 10000 188435 2.0776194833 4.3971141956 0.346664995
yurirosen 20 4 1.000000001 10000 187229 2.0776194833 2.5310887919 0.3399989903
